,,root
FAM83G,cnv_amp,0.00017985371
CRIM1,mut_important,-1.6223074e-08
CRIM1,cnv_del,-4.3760857e-32
CRIM1,cnv_amp,3.490967e-33
STON2,mut_important,9.040305e-32
STON2,cnv_del,-0.0012673275
STON2,cnv_amp,-0.00022449493
ZIM3,mut_important,-1.305753e-32
ZIM3,cnv_del,-0.22849515
ZIM3,cnv_amp,-0.078488864
COX18,mut_important,-0.0060529886
COX18,cnv_del,-0.005704061
COX18,cnv_amp,0.0066864477
ATAT1,mut_important,0.46622914
ATAT1,cnv_del,-0.37833333
ATAT1,cnv_amp,0.28980404
CARD6,mut_important,-0.5099095
CARD6,cnv_del,3.387217e-24
CARD6,cnv_amp,-1.5070439e-26
APOBEC2,mut_important,-0.0021905736
APOBEC2,cnv_del,-0.006514269
APOBEC2,cnv_amp,0.010660061
EMP2,mut_important,-0.010585912
EMP2,cnv_del,-7.5754116e-33
EMP2,cnv_amp,6.01126e-29
RTBDN,mut_important,3.1829695e-06
RTBDN,cnv_del,-2.1999135e-06
RTBDN,cnv_amp,2.8425717e-07
SNUPN,mut_important,-1.4531001e-32
SNUPN,cnv_del,1.7318318e-10
SNUPN,cnv_amp,8.185208e-12
CHRNA6,mut_important,-4.8913493e-28
CHRNA6,cnv_del,3.1427604e-11
CHRNA6,cnv_amp,4.0099066e-11
TNFRSF10D,mut_important,5.595312e-16
TNFRSF10D,cnv_del,-3.390489e-24
TNFRSF10D,cnv_amp,1.1865045e-32
FAM161A,mut_important,-0.69218665
FAM161A,cnv_del,-0.21420051
FAM161A,cnv_amp,-0.3968617
TTR,mut_important,-0.47915372
