,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
ZNF516,0.0,0.0,0.0,-0.10343876,0.23665415
TXNDC17,0.0,0.0,0.0,-0.10343876,0.23665415
TMTC4,0.0,0.0,0.0,-0.10343876,0.23665415
COX8A,5.804084e-06,1.0,5.804084e-06,-0.099830836,0.06222082
LIN9,3.2445902e-07,2.0,3.2445902e-07,-0.10323706,-0.11758528
NT5C3B,0.0012657071,1.0,0.0012657071,0.6833462,0.662123
RB1,0.00023049315,4.0,0.00023049315,0.0398397,-0.3623845
KLHL32,0.0,0.0,0.0,-0.10343876,0.23665415
RGS14,0.0,0.0,0.0,-0.10343876,0.23665415
NPY5R,1.1073526e-07,1.0,1.1073526e-07,-0.103369914,0.059509937
TADA3,2.9566101e-05,2.0,2.9566101e-05,-0.08505996,-0.10366187
PPP2R2C,0.0,0.0,0.0,-0.10343876,0.23665415
SNRPB2,1.4327978e-05,1.0,1.4327978e-05,-0.094532244,0.06627947
COPB2,2.3271849e-07,2.0,2.3271849e-07,-0.1032941,-0.117628954
WDR37,0.0,0.0,0.0,-0.10343876,0.23665415
NAA30,3.0141015e-05,1.0,3.0141015e-05,-0.08470259,0.073808834
RTN4IP1,0.0,0.0,0.0,-0.10343876,0.23665415
ACTR2,0.0010779393,4.0,0.0010779393,0.5666266,0.041126546
SH3BP2,0.0,0.0,0.0,-0.10343876,0.23665415
GPCPD1,1.8816115e-06,2.0,1.8816115e-06,-0.10226911,-0.11684385
PBLD,0.0,0.0,0.0,-0.10343876,0.23665415
GNB5,9.021289e-05,17.0,9.021289e-05,-0.047360893,-2.7327392
CDK4,1.7373864e-05,9.0,1.7373864e-05,-0.092638865,-1.3498459
NAT8B,2.493355e-05,1.0,2.493355e-05,-0.08793964,0.0713293
CD19,0.0013184036,5.0,0.0013184036,0.71610326,-0.021573424
